Place,Phone,Website,Address,City,ZIP,LAT,LON,Type
Good Neighbor Organic,,,9825 Engles Road,Northport,49670,45.105938,-85.648234,2
Stoney Acres Winery (Michigan),,,4268 Truckey Road,Alpena,49707,45.109519,-83.477809,2
Motovino Cellars,,,110 Waukazoo Street,Northport,49670,45.129561,-85.616674,2
Petoskey Farms Vineyard & Winery,,,3720 Atkins Road,Petoskey,49770,45.363045,-84.942214,2
Mackinaw Trail Winery,,,3423 US 131,Petoskey,49770,45.365099,-84.970899,2
Crooked Vine Vineyard & Winert,,,8370 Lakeview Road,Alanson,49706,45.428461,-84.771505,2
Seasons of the North Winery,,,9090 Michigan 68 Highway,Alanson,49706,45.444071,-84.786698,2
Pleasantview Vineyards,,,6769 Pleasantview Road,Harbor Springs,49740,45.452986,-84.91485,2
Nicholas's Black River Vineyard & Winery,,,6209 N Black River Road,Cheboygan,49721,45.542848,-84.379316,2
Northern Sun Winery,,,983 10th Road,Bark River,49807,45.681293,-87.321758,2
Threefold Vine Winery,,,5856 Nn Road,Garden,49835,45.760039,-86.564344,2
Garden Bay Winery,,,15640 18th Road,Garden,49835,45.795125,-86.557855,2
Carrousel Winery,,,21 Trimountain Avenue,South Range,49963,47.069713,-88.640331,2
